iter	RMSE
0	0.3733077163
1	0.3512049985
2	0.3301483816
3	0.3122693652
4	0.295185111
5	0.2801310147
6	0.2660613919
7	0.2525394112
8	0.2405067549
9	0.230012081
10	0.2203178465
11	0.2119292443
12	0.2043384839
13	0.1970893631
14	0.1899081347
15	0.1842447678
16	0.1790475877
17	0.1742004858
18	0.1702137606
19	0.1665972241
20	0.1622339676
21	0.1590489126
22	0.1559380564
23	0.152545468
24	0.1501792246
25	0.1480122972
26	0.1451106594
27	0.1430117242
28	0.1401607823
29	0.1382418695
30	0.1362107872
31	0.1345097362
32	0.1331073568
33	0.1316474917
34	0.1304484795
35	0.1293958747
36	0.1278123981
37	0.1262840277
38	0.1251433099
39	0.1240142065
40	0.1228232854
41	0.1218506751
42	0.1208893394
43	0.119593403
44	0.118689895
45	0.1180294077
46	0.1171264426
47	0.1164089196
48	0.1154822292
49	0.1146306096
50	0.1138061839
51	0.1127994923
52	0.1121684761
53	0.1115026729
54	0.1107959804
55	0.1102552149
56	0.109699545
57	0.1090450096
58	0.1087886639
59	0.1081310827
60	0.1074074353
61	0.1070680386
62	0.1064407939
63	0.1059723555
64	0.10544059
65	0.1046868779
66	0.1042276972
67	0.1037891245
68	0.1035291165
69	0.1030894599
70	0.1029119833
71	0.1021904162
72	0.1019337703
73	0.1013915261
74	0.1007168312
75	0.100421155
76	0.1001668253
77	0.09948754782
78	0.09917318235
79	0.098734358
80	0.09808819306
81	0.09790392301
82	0.09744240189
83	0.09708737267
84	0.09652875017
85	0.09603738444
86	0.09552910259
87	0.09474220891
88	0.09443802767
89	0.09397043491
90	0.09375232858
91	0.09314728013
92	0.09273394128
93	0.09221446006
94	0.09181237688
95	0.0913540362
96	0.09095099989
97	0.09056579094
98	0.08980563501
99	0.08936785883
