iter	Passed	Remaining
0	2	224
1	4	240
2	7	243
3	9	224
4	11	224
5	17	280
6	20	268
7	22	258
8	25	262
9	27	251
10	29	240
11	31	232
12	34	234
13	36	227
14	39	221
15	41	219
16	45	221
17	47	215
18	49	209
19	52	208
20	54	206
21	56	200
22	58	195
23	61	195
24	64	192
25	65	187
26	68	184
27	71	184
28	73	179
29	75	175
30	77	171
31	80	170
32	83	168
33	85	165
34	88	163
35	91	161
36	93	158
37	94	154
38	97	152
39	100	150
40	103	148
41	105	145
42	108	143
43	110	141
44	113	139
45	117	138
46	120	135
47	121	132
48	123	128
49	127	127
50	129	124
51	131	121
52	133	118
53	136	116
54	138	113
55	140	110
56	142	107
57	146	105
58	148	103
59	151	100
60	154	98
61	156	96
62	159	93
63	160	90
64	163	88
65	165	85
66	167	82
67	169	79
68	171	76
69	174	74
70	176	71
71	177	69
72	179	66
73	182	64
74	184	61
75	187	59
76	190	56
77	193	54
78	196	52
79	198	49
80	201	47
81	203	44
82	205	42
83	210	40
84	212	37
85	215	35
86	218	32
87	221	30
88	223	27
89	225	25
90	229	22
91	232	20
92	234	17
93	239	15
94	242	12
95	244	10
96	248	7
97	250	5
98	252	2
99	254	0
